time;time;;;;;;;;;;;;
594;549;;;;;;;;;;;;
628;536;;;;;;;;;;;;
593;556;;;;;;;;;;;;
597;530;;;;;;;;;;;;
591;554;;;;;;;;;;;;
590;531;;;;;;;;;;;;
593;552;;;;;;;;;;;;
597,0857143;555,1714286;;;;;;;;;;;;
591;533;;;;;;;;;;;;
594;537;;;;;;;;;;;;
590;564;;;;;;;;;;;;
596;559;;;;;;;;;;;;
591;548;;;;;;;;;;;;
582;528;;;;;;;;;;;;
592;535;;;;;;;;;;;;
593;541;;;;;;;;;;;;
596;536;;;;;;;;;;;;
593;558;;;;;;;;;;;;
625;538;;;;;;;;;;;;
590;537;;;;;;;;;;;;
580;537;;;;;;;;;;;;
582;537;;;;;;;;;;;;
595;532;;;;;;;;;;;;
664;545;;;;;;;;;;;;
580;535;;;;;;;;;;;;
585;532;;;;;;;;;;;;
589;536;;;;;;;;;;;;
612;538;;;;;;;;;;;;
592;541;;;;;;;;;;;;
595,8095238;540,3333333;;;;;;;;;;;;
591;533;;;;;;;;;;;;
586;569;;;;;;;;;;;;
595;556;;;;;;;;;;;;
595;522;;;;;;;;;;;;
624;532;;;;;;;;;;;;
581;552;;;;;;;;;;;;
596;532;;;;;;;;;;;;
593;537;;;;;;;;;;;;
599;539;;;;;;;;;;;;
592;575;;;;;;;;;;;;
595,2;544,7;;;;;;;;;;;;
592;537;;;;;;;;;;;;
595;542;;;;;;;;;;;;
592;535;;;;;;;;;;;;
593;534;;;;;;;;;;;;
594;532;;;;;;;;;;;;
589;531;;;;;;;;;;;;
608;543;;;;;;;;;;;;
594;531;;;;;;;;;;;;
594,625;535,625;;;;;;;;;;;;
592;534;;;;;;;;;;;;
595;556;;;;;;;;;;;;
593,5;545;;;;;;;;;;;;
624;546;;;;;;;;;;;;
593;539;;;;;;;;;;;;
608,5;542,5;;;;;;;;;;;;
581;545;;;;;;;;;;;;
596;533;;;;;;;;;;;;
592;532;;;;;;;;;;;;
593;543;;;;;;;;;;;;
593;540;;;;;;;;;;;;
594;545;;;;;;;;;;;;
595;540;;;;;;;;;;;;
587;543;;;;;;;;;;;;
592;537;;;;;;;;;;;;
592;542;;;;;;;;;;;;
596;537;;;;;;;;;;;;
597;539;;;;;;;;;;;;
596;536;;;;;;;;;;;;
617;534;;;;;;;;;;;;
581;535;;;;;;;;;;;;
593;539;;;;;;;;;;;;
596;548;;;;;;;;;;;;
593;535;;;;;;;;;;;;
629;525;;;;;;;;;;;;
596;545;;;;;;;;;;;;
595;550;;;;;;;;;;;;
592;535;;;;;;;;;;;;
594;529;;;;;;;;;;;;
595;544;;;;;;;;;;;;
670;533;;;;;;;;;;;;
594;533;;;;;;;;;;;;
596;571;;;;;;;;;;;;
584;535;;;;;;;;;;;;
592;536;;;;;;;;;;;;
594;539;;;;;;;;;;;;
